null
null
trying to connect: 7890:dsp_10.local
null
trying to connect: 7890:dsp_11.local
null
trying to connect: 7890:dsp_01.local
null
trying to connect: 7890:dsp_09.local
null
trying to connect: 7890:dsp_08.local
null
trying to connect: 7890:dsp_04.local
null
trying to connect: 7890:dsp_12.local
null
trying to connect: 7890:dsp_14.local
null
trying to connect: 7890:dsp_07.local
null
trying to connect: 7890:dsp_06.local
null
trying to connect: 7890:dsp_05.local
null
trying to connect: 7890:dsp_03.local
null
trying to connect: 7890:dsp_13.local
trying to connect: 7890:dsp_02.local
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
java.nio.channels.SocketChannel[unconnected]
3008	3008	3008	3008	3008	3008	3008	3008	3008	3008	3008	3008	3008	3008	
3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	
3130	3130	3130	3130	3130	3130	3130	3130	3130	3130	3130	3130	3130	3130	
3195	3195	3195	3195	3195	3195	3195	3195	3195	3195	3195	3195	3195	3195	
3264	3264	3264	3264	3264	3264	3264	3264	3264	3264	3264	3264	3264	3264	
3332	3332	3332	3332	3332	3332	3335	3335	3335	3335	3335	3335	3335	3335	
3401	3401	3401	3401	3401	3401	3401	3401	3401	3401	3401	3401	3401	3401	
3469	3469	3469	3469	3469	3469	3469	3469	3469	3469	3469	3469	3469	3469	
3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	
3599	3599	3599	3599	3599	3599	3599	3599	3599	3599	3599	3599	3599	3599	
3666	3666	3666	3666	3666	3666	3666	3666	3666	3666	3666	3666	3666	3666	
3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	
3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	
3865	3865	3865	3865	3865	3865	3865	3865	3865	3865	3865	3865	3865	3865	
3931	3931	3931	3931	3931	3931	3931	3931	3931	3931	3931	3931	3931	3931	
4001	4001	4001	4001	4001	4001	4001	4001	4001	4001	4001	4001	4001	4001	
4064	4064	4064	4064	4064	4064	4064	4064	4064	4064	4064	4064	4064	4064	
4131	4131	4131	4131	4131	4131	4131	4131	4131	4131	4131	4131	4131	4131	
4198	4198	4198	4198	4198	4198	4198	4198	4198	4198	4198	4198	4198	4198	
4264	4264	4264	4264	4264	4264	4264	4264	4264	4264	4264	4264	4264	4264	
4337	4337	4337	4337	4337	4337	4337	4337	4337	4337	4337	4337	4337	4337	
4398	4398	4398	4398	4398	4398	4398	4398	4398	4398	4398	4398	4398	4398	
4467	4467	4467	4467	4467	4467	4467	4467	4467	4467	4467	4467	4467	4467	
4530	4530	4530	4530	4530	4530	4530	4530	4530	4530	4530	4530	4530	4530	
4597	4597	4597	4597	4597	4597	4597	4597	4597	4597	4597	4597	4597	4597	
4666	4666	4666	4666	4666	4666	4666	4666	4666	4666	4666	4666	4666	4666	
4728	4728	4728	4728	4728	4728	4728	4728	4728	4728	4728	4728	4728	4728	
4799	4799	4799	4799	4799	4799	4799	4799	4799	4799	4799	4799	4799	4799	
4865	4865	4865	4865	4865	4865	4865	4865	4865	4865	4865	4865	4865	4865	
4948	4948	4948	4948	4948	4948	4948	4948	4948	4948	4948	4948	4948	4948	
5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	
5068	5068	5068	5068	5068	5068	5068	5068	5068	5068	5068	5068	5068	5068	
5130	5130	5130	5130	5130	5130	5130	5130	5130	5130	5130	5130	5130	5130	
5201	5201	5201	5201	5201	5201	5201	5201	5201	5201	5201	5201	5201	5201	
5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	
5333	5333	5333	5333	5333	5333	5333	5333	5333	5333	5333	5333	5333	5333	
5398	5398	5398	5398	5398	5398	5398	5398	5398	5398	5398	5398	5398	5398	
5466	5466	5466	5466	5466	5466	5466	5466	5466	5466	5466	5466	5466	5466	
5532	5532	5532	5532	5532	5532	5532	5532	5532	5532	5532	5532	5532	5532	
5599	5599	5599	5599	5599	5599	5599	5599	5599	5599	5599	5599	5599	5599	
5668	5668	5668	5668	5668	5668	5668	5668	5668	5668	5668	5668	5668	5668	
5731	5731	5731	5731	5731	5731	5731	5731	5731	5731	5731	5731	5731	5731	
5799	5799	5799	5799	5799	5799	5799	5799	5799	5799	5799	5799	5799	5799	
5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	
5932	5932	5932	5932	5932	5932	5932	5932	5932	5932	5932	5932	5932	5932	
5999	5999	5999	5999	5999	5999	5999	5999	5999	5999	5999	5999	5999	5999	
6067	6067	6067	6067	6067	6067	6067	6067	6067	6067	6067	6067	6067	6067	
